E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2,E_A#3 / keV,N_A#3,E_A#4 / keV,N_A#4,E_A#5 / keV,N_A#5,E_A#6 / keV,N_A#6,E_A#7 / keV,N_A#7,E_A#8 / keV,N_A#8
206.6,774,206.6,699,206.6,633,206.6,574,206.6,596,206.6,566,206.6,483,206.6,451
208.3,730,208.3,741,208.3,631,208.3,636,208.3,560,208.3,578,208.3,489,208.3,448
210.1,698,210.1,621,210.1,609,210.1,576,210.1,552,210.1,504,210.1,477,210.1,421
211.8,650,211.8,645,211.8,627,211.8,547,211.8,538,211.8,543,211.8,428,211.8,439
213.6,668,213.6,634,213.6,602,213.6,568,213.6,498,213.6,474,213.6,484,213.6,429
215.3,657,215.3,612,215.3,577,215.3,556,215.3,559,215.3,476,215.3,434,215.3,407
217.1,615,217.1,626,217.1,540,217.1,548,217.1,465,217.1,473,217.1,452,217.1,389
218.8,615,218.8,604,218.8,547,218.8,535,218.8,522,218.8,458,218.8,423,218.8,395
220.6,610,220.6,556,220.6,540,220.6,542,220.6,525,220.6,403,220.6,419,220.6,375
222.3,629,222.3,556,222.3,566,222.3,525,222.3,504,222.3,461,222.3,428,222.3,383
224.1,599,224.1,541,224.1,604,224.1,556,224.1,493,224.1,485,224.1,412,224.1,412
225.8,525,225.8,556,225.8,561,225.8,529,225.8,505,225.8,400,225.8,399,225.8,398
227.6,557,227.6,545,227.6,529,227.6,524,227.6,464,227.6,429,227.6,404,227.6,342
229.3,579,229.3,525,229.3,530,229.3,482,229.3,479,229.3,413,229.3,385,229.3,366
231.1,562,231.1,566,231.1,463,231.1,487,231.1,489,231.1,396,231.1,403,231.1,341
232.8,514,232.8,508,232.8,520,232.8,473,232.8,469,232.8,429,232.8,370,232.8,380
234.6,578,234.6,532,234.6,518,234.6,490,234.6,436,234.6,418,234.6,373,234.6,393
236.3,535,236.3,501,236.3,469,236.3,457,236.3,439,236.3,431,236.3,394,236.3,361
238.1,522,238.1,476,238.1,511,238.1,462,238.1,457,238.1,410,238.1,415,238.1,380
239.8,501,239.8,473,239.8,466,239.8,453,239.8,458,239.8,369,239.8,390,239.8,338
241.6,520,241.6,505,241.6,464,241.6,448,241.6,462,241.6,446,241.6,403,241.6,357
243.3,540,243.3,451,243.3,451,243.3,420,243.3,431,243.3,443,243.3,382,243.3,362
245.1,489,245.1,436,245.1,466,245.1,418,245.1,441,245.1,379,245.1,393,245.1,329
246.8,483,246.8,455,246.8,461,246.8,410,246.8,419,246.8,388,246.8,375,246.8,354
248.6,538,248.6,487,248.6,453,248.6,445,248.6,433,248.6,384,248.6,361,248.6,355
250.3,482,250.3,462,250.3,438,250.3,463,250.3,443,250.3,398,250.3,381,250.3,348
252.1,494,252.1,462,252.1,452,252.1,435,252.1,403,252.1,401,252.1,415,252.1,329
253.8,533,253.8,433,253.8,453,253.8,401,253.8,421,253.8,380,253.8,352,253.8,321
255.6,481,255.6,450,255.6,505,255.6,412,255.6,420,255.6,374,255.6,345,255.6,320
257.3,462,257.3,442,257.3,432,257.3,397,257.3,388,257.3,351,257.3,336,257.3,323
259.1,472,259.1,471,259.1,413,259.1,413,259.1,386,259.1,358,259.1,322,259.1,360
260.8,429,260.8,422,260.8,452,260.8,416,260.8,380,260.8,373,260.8,310,260.8,316
262.6,464,262.6,436,262.6,408,262.6,409,262.6,384,262.6,345,262.6,341,262.6,313
264.3,439,264.3,436,264.3,415,264.3,383,264.3,406,264.3,322,264.3,314,264.3,320
266.1,501,266.1,449,266.1,413,266.1,413,266.1,324,266.1,379,266.1,334,266.1,279
267.8,430,267.8,415,267.8,428,267.8,416,267.8,397,267.8,346,267.8,309,267.8,301
269.6,439,269.6,440,269.6,420,269.6,391,269.6,368,269.6,383,269.6,327,269.6,315
271.3,421,271.3,421,271.3,392,271.3,372,271.3,404,271.3,317,271.3,312,271.3,331
273.1,428,273.1,411,273.1,363,273.1,428,273.1,345,273.1,321,273.1,320,273.1,296
274.8,434,274.8,385,274.8,409,274.8,374,274.8,386,274.8,320,274.8,282,274.8,295
276.6,448,276.6,424,276.6,405,276.6,396,276.6,337,276.6,325,276.6,317,276.6,269
278.3,379,278.3,418,278.3,427,278.3,371,278.3,350,278.3,338,278.3,292,278.3,270
280.1,435,280.1,421,280.1,407,280.1,385,280.1,343,280.1,340,280.1,291,280.1,262
281.8,415,281.8,423,281.8,399,281.8,359,281.8,345,281.8,323,281.8,316,281.8,271
283.6,419,283.6,450,283.6,407,283.6,380,283.6,311,283.6,280,283.6,276,283.6,262
285.3,405,285.3,393,285.3,379,285.3,385,285.3,358,285.3,330,285.3,324,285.3,285
287.1,400,287.1,435,287.1,386,287.1,350,287.1,367,287.1,361,287.1,293,287.1,269
288.8,375,288.8,375,288.8,404,288.8,350,288.8,361,288.8,334,288.8,282,288.8,260
290.6,403,290.6,377,290.6,414,290.6,347,290.6,368,290.6,326,290.6,300,290.6,264
292.3,357,292.3,380,292.3,357,292.3,401,292.3,333,292.3,319,292.3,307,292.3,257
294.1,364,294.1,423,294.1,363,294.1,366,294.1,318,294.1,289,294.1,274,294.1,261
295.8,380,295.8,390,295.8,399,295.8,370,295.8,341,295.8,339,295.8,305,295.8,271
297.6,392,297.6,388,297.6,392,297.6,366,297.6,344,297.6,316,297.6,287,297.6,240
299.3,413,299.3,428,299.3,390,299.3,439,299.3,350,299.3,336,299.3,290,299.3,268
301.1,401,301.1,349,301.1,339,301.1,417,301.1,350,301.1,303,301.1,293,301.1,265
302.8,358,302.8,406,302.8,370,302.8,344,302.8,323,302.8,305,302.8,286,302.8,229
304.6,386,304.6,404,304.6,379,304.6,335,304.6,356,304.6,268,304.6,280,304.6,256
306.3,341,306.3,387,306.3,379,306.3,350,306.3,312,306.3,357,306.3,284,306.3,262
308.1,336,308.1,359,308.1,364,308.1,353,308.1,341,308.1,321,308.1,278,308.1,246
309.8,410,309.8,382,309.8,381,309.8,379,309.8,339,309.8,290,309.8,261,309.8,245
311.6,367,311.6,367,311.6,365,311.6,363,311.6,339,311.6,308,311.6,296,311.6,247
313.3,367,313.3,347,313.3,364,313.3,370,313.3,340,313.3,296,313.3,251,313.3,239
315.1,351,315.1,353,315.1,371,315.1,339,315.1,373,315.1,328,315.1,256,315.1,238
316.8,386,316.8,364,316.8,348,316.8,322,316.8,315,316.8,254,316.8,267,316.8,254
318.6,394,318.6,406,318.6,381,318.6,343,318.6,358,318.6,289,318.6,292,318.6,261
320.3,339,320.3,389,320.3,381,320.3,345,320.3,320,320.3,288,320.3,263,320.3,257
322.1,381,322.1,380,322.1,357,322.1,328,322.1,305,322.1,293,322.1,281,322.1,219
323.8,332,323.8,394,323.8,398,323.8,340,323.8,342,323.8,270,323.8,237,323.8,230
325.6,360,325.6,391,325.6,340,325.6,352,325.6,331,325.6,275,325.6,262,325.6,245
327.3,369,327.3,368,327.3,347,327.3,343,327.3,315,327.3,265,327.3,222,327.3,214
329.1,355,329.1,346,329.1,395,329.1,327,329.1,309,329.1,277,329.1,276,329.1,248
330.8,358,330.8,390,330.8,384,330.8,311,330.8,300,330.8,293,330.8,264,330.8,234
332.6,338,332.6,403,332.6,347,332.6,319,332.6,309,332.6,275,332.6,245,332.6,265
334.3,362,334.3,374,334.3,367,334.3,327,334.3,327,334.3,262,334.3,245,334.3,234
336.1,345,336.1,355,336.1,355,336.1,354,336.1,304,336.1,291,336.1,240,336.1,234
337.8,371,337.8,352,337.8,327,337.8,335,337.8,317,337.8,273,337.8,274,337.8,238
339.6,398,339.6,380,339.6,343,339.6,339,339.6,321,339.6,268,339.6,260,339.6,247
341.3,369,341.3,365,341.3,360,341.3,306,341.3,292,341.3,274,341.3,247,341.3,211
343.1,322,343.1,346,343.1,355,343.1,343,343.1,306,343.1,270,343.1,238,343.1,223
344.8,385,344.8,338,344.8,351,344.8,311,344.8,291,344.8,275,344.8,247,344.8,252
346.6,339,346.6,338,346.6,342,346.6,322,346.6,312,346.6,283,346.6,258,346.6,229
348.3,385,348.3,365,348.3,367,348.3,317,348.3,298,348.3,281,348.3,259,348.3,224
