E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2,E_A#3 / keV,N_A#3,E_A#4 / keV,N_A#4,E_A#5 / keV,N_A#5,E_A#6 / keV,N_A#6,E_A#7 / keV,N_A#7,E_A#8 / keV,N_A#8
337.8,333,337.8,235,337.8,163,337.8,128,337.8,80,337.8,78,337.8,68,337.8,47
339.6,367,339.6,248,339.6,176,339.6,131,339.6,90,339.6,76,339.6,48,339.6,54
341.3,386,341.3,236,341.3,170,341.3,138,341.3,83,341.3,82,341.3,67,341.3,41
343.1,357,343.1,269,343.1,188,343.1,108,343.1,80,343.1,73,343.1,65,343.1,52
344.8,368,344.8,250,344.8,150,344.8,111,344.8,93,344.8,70,344.8,68,344.8,58
346.6,372,346.6,224,346.6,158,346.6,136,346.6,92,346.6,69,346.6,56,346.6,59
348.3,347,348.3,219,348.3,167,348.3,141,348.3,98,348.3,68,348.3,55,348.3,58
350.1,339,350.1,234,350.1,185,350.1,131,350.1,99,350.1,67,350.1,58,350.1,62
351.8,373,351.8,243,351.8,172,351.8,140,351.8,91,351.8,76,351.8,73,351.8,61
353.6,359,353.6,254,353.6,160,353.6,129,353.6,93,353.6,74,353.6,66,353.6,48
355.3,391,355.3,255,355.3,159,355.3,116,355.3,99,355.3,88,355.3,66,355.3,50
357.1,366,357.1,233,357.1,162,357.1,119,357.1,93,357.1,66,357.1,41,357.1,49
358.8,369,358.8,286,358.8,192,358.8,124,358.8,88,358.8,63,358.8,63,358.8,59
360.6,367,360.6,240,360.6,166,360.6,97,360.6,100,360.6,79,360.6,54,360.6,52
362.4,350,362.4,272,362.4,175,362.4,106,362.4,111,362.4,74,362.4,64,362.4,53
364.1,351,364.1,281,364.1,184,364.1,124,364.1,96,364.1,80,364.1,66,364.1,53
365.9,360,365.9,238,365.9,182,365.9,92,365.9,94,365.9,58,365.9,69,365.9,55
367.6,362,367.6,248,367.6,162,367.6,123,367.6,100,367.6,64,367.6,56,367.6,47
369.4,348,369.4,231,369.4,172,369.4,122,369.4,97,369.4,88,369.4,60,369.4,53
371.1,335,371.1,238,371.1,158,371.1,111,371.1,68,371.1,70,371.1,50,371.1,42
372.9,325,372.9,239,372.9,180,372.9,106,372.9,100,372.9,64,372.9,64,372.9,50
374.6,330,374.6,243,374.6,166,374.6,90,374.6,77,374.6,59,374.6,58,374.6,51
376.4,349,376.4,266,376.4,167,376.4,127,376.4,82,376.4,52,376.4,52,376.4,42
